ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1629251480991212,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.,We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.,We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.","Make a plan to VOTE TRUMP today!,Make a plan to VOTE TRUMP today!,Make a plan to VOTE TRUMP today!",vote.donaldjtrump.com,"It all boils down to this,It all boils down to this,It all boils down to this","lower_bound: 25000, upper_bound: 29999","lower_bound: 500, upper_bound: 599",USD,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.247463},{""age"":""35-44"",""gender"":""male"",""percentage"":0.22854},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002788},{""age"":""45-54"",""gender"":""female"",""percentage"":0.141146},{""age"":""45-54"",""gender"":""male"",""percentage"":0.130816},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001371},{""age"":""55-64"",""gender"":""female"",""percentage"":0.085428},{""age"":""55-64"",""gender"":""male"",""percentage"":0.073636},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000686},{""age"":""65+"",""gender"":""female"",""percentage"":0.053981},{""age"":""65+"",""gender"":""male"",""percentage"":0.033504},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00064}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
883712010558224,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","STOP WHAT YOU'RE DOING

Do you want North Carolina going to Kamala? Of course not!

Finalize your Election Day plan & VOTE TRUMP!,STOP WHAT YOU'RE DOING

Do you want North Carolina going to Kamala? Of course not!

Finalize your Election Day plan & VOTE TRUMP!,STOP WHAT YOU'RE DOING

Do you want North Carolina going to Kamala? Of course not!

Finalize your Election Day plan & VOTE TRUMP!","Make the difference for Pres. Trump!,Make the difference for Pres. Trump!,Make the difference for Pres. Trump!",vote.donaldjtrump.com,"Tell Kamala she's fired!,Tell Kamala she's fired!,Tell Kamala she's fired!","lower_bound: 10000, upper_bound: 14999","lower_bound: 300, upper_bound: 399",USD,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.216207},{""age"":""35-44"",""gender"":""male"",""percentage"":0.240417},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003587},{""age"":""45-54"",""gender"":""female"",""percentage"":0.12004},{""age"":""45-54"",""gender"":""male"",""percentage"":0.137301},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002914},{""age"":""55-64"",""gender"":""female"",""percentage"":0.091235},{""age"":""55-64"",""gender"":""male"",""percentage"":0.072517},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001121},{""age"":""65+"",""gender"":""female"",""percentage"":0.069155},{""age"":""65+"",""gender"":""male"",""percentage"":0.044833},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000672}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
545540858058133,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-05,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!,Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!,Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!","Don't let North Carolina fall to Kamala!,Don't let North Carolina fall to Kamala!,Don't let North Carolina fall to Kamala!",vote.donaldjtrump.com,"Spare 1 minute for Trump,Spare 1 minute for Trump,Spare 1 minute for Trump","lower_bound: 5000, upper_bound: 5999","lower_bound: 300, upper_bound: 399",USD,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.138939},{""age"":""35-44"",""gender"":""male"",""percentage"":0.099955},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00204},{""age"":""45-54"",""gender"":""female"",""percentage"":0.126247},{""age"":""45-54"",""gender"":""male"",""percentage"":0.089982},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001133},{""age"":""55-64"",""gender"":""female"",""percentage"":0.154352},{""age"":""55-64"",""gender"":""male"",""percentage"":0.102675},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000453},{""age"":""65+"",""gender"":""female"",""percentage"":0.164778},{""age"":""65+"",""gender"":""male"",""percentage"":0.117407},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00204}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
567705372580153,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!,Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!,Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!","Don't let North Carolina fall to Kamala!,Don't let North Carolina fall to Kamala!,Don't let North Carolina fall to Kamala!",vote.donaldjtrump.com,"Spare 1 minute for Trump,Spare 1 minute for Trump,Spare 1 minute for Trump","lower_bound: 70000, upper_bound: 79999","lower_bound: 1000, upper_bound: 1499",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.239984},{""age"":""45-54"",""gender"":""male"",""percentage"":0.028845},{""age"":""65+"",""gender"":""male"",""percentage"":0.018707},{""age"":""65+"",""gender"":""female"",""percentage"":0.019543},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000265},{""age"":""55-64"",""gender"":""male"",""percentage"":0.022134},{""age"":""55-64"",""gender"":""female"",""percentage"":0.020563},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000469},{""age"":""45-54"",""gender"":""female"",""percentage"":0.025479},{""age"":""18-24"",""gender"":""male"",""percentage"":0.215667},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000836},{""age"":""35-44"",""gender"":""male"",""percentage"":0.047001},{""age"":""35-44"",""gender"":""female"",""percentage"":0.038209},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002448},{""age"":""25-34"",""gender"":""male"",""percentage"":0.182925},{""age"":""25-34"",""gender"":""female"",""percentage"":0.129988},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.006691},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000245}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
856823979598847,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-05,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","THIS. IS. IT. 

YOUR VOTE IS CRITCAL IN NORTH CAROLINA.

GET READY TO GO VOTE!

Make a plan to vote on November 5th.,THIS. IS. IT. 

YOUR VOTE IS CRITCAL IN NORTH CAROLINA.

GET READY TO GO VOTE!

Make a plan to vote on November 5th.,THIS. IS. IT. 

YOUR VOTE IS CRITCAL IN NORTH CAROLINA.

GET READY TO GO VOTE!

Make a plan to vote on November 5th.","Get ready to vote in North Carolina.,Get ready to vote in North Carolina.,Get ready to vote in North Carolina.",vote.donaldjtrump.com,"Pres. Trump needs your vote!,Pres. Trump needs your vote!,Pres. Trump needs your vote!","lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.06134},{""age"":""45-54"",""gender"":""male"",""percentage"":0.08103},{""age"":""65+"",""gender"":""male"",""percentage"":0.068156},{""age"":""65+"",""gender"":""female"",""percentage"":0.081787},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001136},{""age"":""55-64"",""gender"":""male"",""percentage"":0.09504},{""age"":""55-64"",""gender"":""female"",""percentage"":0.084059},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001515},{""age"":""45-54"",""gender"":""female"",""percentage"":0.059447},{""age"":""18-24"",""gender"":""male"",""percentage"":0.078379},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001515},{""age"":""35-44"",""gender"":""male"",""percentage"":0.094661},{""age"":""35-44"",""gender"":""female"",""percentage"":0.067399},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000379},{""age"":""25-34"",""gender"":""male"",""percentage"":0.132526},{""age"":""25-34"",""gender"":""female"",""percentage"":0.088981},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001893},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000757}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
523157097153917,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.,We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.,We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.","Make a plan to VOTE TRUMP today!,Make a plan to VOTE TRUMP today!,Make a plan to VOTE TRUMP today!",vote.donaldjtrump.com,"It all boils down to this,It all boils down to this,It all boils down to this","lower_bound: 10000, upper_bound: 14999","lower_bound: 400, upper_bound: 499",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.054762},{""age"":""45-54"",""gender"":""male"",""percentage"":0.057293},{""age"":""65+"",""gender"":""male"",""percentage"":0.039219},{""age"":""65+"",""gender"":""female"",""percentage"":0.073378},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000723},{""age"":""55-64"",""gender"":""male"",""percentage"":0.045183},{""age"":""55-64"",""gender"":""female"",""percentage"":0.091632},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000904},{""age"":""45-54"",""gender"":""female"",""percentage"":0.104283},{""age"":""18-24"",""gender"":""male"",""percentage"":0.035785},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00253},{""age"":""35-44"",""gender"":""male"",""percentage"":0.085487},{""age"":""35-44"",""gender"":""female"",""percentage"":0.139526},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001988},{""age"":""25-34"",""gender"":""male"",""percentage"":0.110609},{""age"":""25-34"",""gender"":""female"",""percentage"":0.155612},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000723},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000361}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",en
1136421631236372,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","THIS. IS. IT. 

YOUR VOTE IS CRITCAL IN NORTH CAROLINA.

GET READY TO GO VOTE!

Make a plan to vote on November 5th.,THIS. IS. IT. 

YOUR VOTE IS CRITCAL IN NORTH CAROLINA.

GET READY TO GO VOTE!

Make a plan to vote on November 5th.,THIS. IS. IT. 

YOUR VOTE IS CRITCAL IN NORTH CAROLINA.

GET READY TO GO VOTE!

Make a plan to vote on November 5th.","Get ready to vote in North Carolina.,Get ready to vote in North Carolina.,Get ready to vote in North Carolina.",vote.donaldjtrump.com,"Pres. Trump needs your vote!,Pres. Trump needs your vote!,Pres. Trump needs your vote!","lower_bound: 7000, upper_bound: 7999","lower_bound: 200, upper_bound: 299",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.052861},{""age"":""45-54"",""gender"":""male"",""percentage"":0.071248},{""age"":""65+"",""gender"":""male"",""percentage"":0.029419},{""age"":""65+"",""gender"":""female"",""percentage"":0.057918},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000689},{""age"":""55-64"",""gender"":""male"",""percentage"":0.045737},{""age"":""55-64"",""gender"":""female"",""percentage"":0.066192},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001149},{""age"":""45-54"",""gender"":""female"",""percentage"":0.081361},{""age"":""18-24"",""gender"":""male"",""percentage"":0.044817},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002528},{""age"":""35-44"",""gender"":""male"",""percentage"":0.093542},{""age"":""35-44"",""gender"":""female"",""percentage"":0.13721},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001839},{""age"":""25-34"",""gender"":""male"",""percentage"":0.148242},{""age"":""25-34"",""gender"":""female"",""percentage"":0.16387},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000689},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000689}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",en
3816104421982136,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.,We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.,We can't afford four more years of Kamala

Ensure she stays FAR away from the White House

Get ready to vote for Trump Today.","Make a plan to VOTE TRUMP today!,Make a plan to VOTE TRUMP today!,Make a plan to VOTE TRUMP today!",vote.donaldjtrump.com,"It all boils down to this,It all boils down to this,It all boils down to this","lower_bound: 250000, upper_bound: 299999","lower_bound: 3500, upper_bound: 3999",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.183867},{""age"":""45-54"",""gender"":""male"",""percentage"":0.037327},{""age"":""65+"",""gender"":""male"",""percentage"":0.013017},{""age"":""65+"",""gender"":""female"",""percentage"":0.01796},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000193},{""age"":""55-64"",""gender"":""male"",""percentage"":0.024951},{""age"":""55-64"",""gender"":""female"",""percentage"":0.027749},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000352},{""age"":""45-54"",""gender"":""female"",""percentage"":0.03588},{""age"":""18-24"",""gender"":""male"",""percentage"":0.18843},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000675},{""age"":""35-44"",""gender"":""male"",""percentage"":0.059787},{""age"":""35-44"",""gender"":""female"",""percentage"":0.05741},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00181},{""age"":""25-34"",""gender"":""male"",""percentage"":0.192646},{""age"":""25-34"",""gender"":""female"",""percentage"":0.153991},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.003791},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000165}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
1209291223696810,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-05,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!,Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!,Trump + FREEDOM or Kamala + SOCIALISM

The choice is yours.

Find your Election Day Voting Location & win this for TRUMP!","Don't let North Carolina fall to Kamala!,Don't let North Carolina fall to Kamala!,Don't let North Carolina fall to Kamala!",vote.donaldjtrump.com,"Spare 1 minute for Trump,Spare 1 minute for Trump,Spare 1 minute for Trump","lower_bound: 3000, upper_bound: 3999","lower_bound: 100, upper_bound: 199",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.087239},{""age"":""45-54"",""gender"":""male"",""percentage"":0.052001},{""age"":""65+"",""gender"":""male"",""percentage"":0.15703},{""age"":""65+"",""gender"":""female"",""percentage"":0.142662},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000342},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097503},{""age"":""55-64"",""gender"":""female"",""percentage"":0.09066},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001711},{""age"":""45-54"",""gender"":""female"",""percentage"":0.054396},{""age"":""18-24"",""gender"":""male"",""percentage"":0.087581},{""age"":""35-44"",""gender"":""male"",""percentage"":0.031475},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042422},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001711},{""age"":""25-34"",""gender"":""male"",""percentage"":0.080397},{""age"":""25-34"",""gender"":""female"",""percentage"":0.067397},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.004447},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001026}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
518848104351639,153080620724,"Donald J. Trump",2024-10-28,2024-10-28,2024-11-06,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.","STOP WHAT YOU'RE DOING

Do you want North Carolina going to Kamala? Of course not!

Finalize your Election Day plan & VOTE TRUMP!,STOP WHAT YOU'RE DOING

Do you want North Carolina going to Kamala? Of course not!

Finalize your Election Day plan & VOTE TRUMP!,STOP WHAT YOU'RE DOING

Do you want North Carolina going to Kamala? Of course not!

Finalize your Election Day plan & VOTE TRUMP!","Make the difference for Pres. Trump!,Make the difference for Pres. Trump!,Make the difference for Pres. Trump!",vote.donaldjtrump.com,"Tell Kamala she's fired!,Tell Kamala she's fired!,Tell Kamala she's fired!","lower_bound: 40000, upper_bound: 44999","lower_bound: 1500, upper_bound: 1999",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.05042},{""age"":""45-54"",""gender"":""male"",""percentage"":0.069707},{""age"":""65+"",""gender"":""male"",""percentage"":0.044646},{""age"":""65+"",""gender"":""female"",""percentage"":0.101732},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000357},{""age"":""55-64"",""gender"":""male"",""percentage"":0.055479},{""age"":""55-64"",""gender"":""female"",""percentage"":0.101316},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001071},{""age"":""45-54"",""gender"":""female"",""percentage"":0.10709},{""age"":""18-24"",""gender"":""male"",""percentage"":0.032383},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001667},{""age"":""35-44"",""gender"":""male"",""percentage"":0.085481},{""age"":""35-44"",""gender"":""female"",""percentage"":0.123043},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001429},{""age"":""25-34"",""gender"":""male"",""percentage"":0.100482},{""age"":""25-34"",""gender"":""female"",""percentage"":0.121912},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000833},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000952}","{""region"":""North Carolina"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",en
